GroupID,Size,WheelchairAccess,Projector,Computer,FloorPreference,Start,End
G0001,43,FALSE,TRUE,FALSE,3,8:00,9:00
G0002,48,TRUE,TRUE,FALSE,-1,8:00,9:00
G0003,28,TRUE,TRUE,TRUE,3,8:00,9:00
G0004,6,TRUE,TRUE,FALSE,1,8:00,9:00
G0005,50,FALSE,TRUE,FALSE,10,8:00,9:00
G0006,10,FALSE,TRUE,FALSE,8,8:00,9:00
G0007,18,TRUE,FALSE,FALSE,1,8:00,9:00
G0008,43,TRUE,FALSE,FALSE,5,8:00,9:00
G0009,36,FALSE,TRUE,FALSE,6,8:00,9:00
G0010,47,FALSE,FALSE,TRUE,8,8:00,9:00
G0011,8,TRUE,FALSE,TRUE,-1,8:00,9:00
G0012,30,FALSE,FALSE,TRUE,2,8:00,9:00
G0013,43,TRUE,FALSE,TRUE,8,8:00,9:00
G0014,8,FALSE,FALSE,FALSE,7,8:00,9:00
G0015,11,TRUE,TRUE,FALSE,-1,8:00,9:00
G0016,50,FALSE,FALSE,FALSE,4,8:00,9:00
G0017,37,FALSE,TRUE,FALSE,6,8:00,9:00
G0018,23,TRUE,TRUE,TRUE,4,8:00,9:00
G0019,29,TRUE,TRUE,FALSE,6,8:00,9:00
G0020,47,TRUE,FALSE,TRUE,7,8:00,9:00
G0021,37,TRUE,FALSE,TRUE,-1,8:00,9:00
G0022,38,FALSE,TRUE,FALSE,1,8:00,9:00
G0023,10,FALSE,FALSE,TRUE,2,8:00,9:00
G0024,7,FALSE,FALSE,FALSE,1,8:00,9:00
G0025,50,TRUE,TRUE,FALSE,4,8:00,9:00
G0026,9,TRUE,TRUE,FALSE,3,8:00,9:00
G0027,17,TRUE,TRUE,TRUE,1,8:00,9:00
G0028,29,FALSE,TRUE,FALSE,9,8:00,9:00
G0029,19,FALSE,FALSE,TRUE,3,8:00,9:00
G0030,24,FALSE,TRUE,FALSE,10,8:00,9:00
G0031,21,TRUE,TRUE,FALSE,10,8:00,9:00
G0032,13,FALSE,FALSE,TRUE,10,8:00,9:00
G0033,45,TRUE,FALSE,TRUE,5,8:00,9:00
G0034,39,TRUE,FALSE,FALSE,6,8:00,9:00
G0035,32,FALSE,TRUE,FALSE,6,8:00,9:00
G0036,37,FALSE,FALSE,TRUE,6,8:00,9:00
G0037,36,TRUE,FALSE,TRUE,9,8:00,9:00
G0038,38,FALSE,TRUE,TRUE,6,8:00,9:00
G0039,11,TRUE,TRUE,TRUE,3,9:10,10:10
G0040,18,TRUE,TRUE,FALSE,1,8:00,9:00
G0041,46,FALSE,TRUE,TRUE,1,8:00,9:00
G0042,35,TRUE,TRUE,TRUE,3,10:20,11:20
G0043,18,FALSE,FALSE,TRUE,-1,9:10,10:10
G0044,49,TRUE,TRUE,FALSE,8,8:00,9:00
G0045,19,TRUE,TRUE,TRUE,1,8:00,9:00
G0046,25,TRUE,TRUE,FALSE,1,8:00,9:00
G0047,7,FALSE,FALSE,TRUE,6,8:00,9:00
G0048,30,FALSE,FALSE,TRUE,9,8:00,9:00
G0049,12,FALSE,FALSE,TRUE,5,8:00,9:00
G0050,9,TRUE,FALSE,FALSE,7,8:00,9:00
G0051,42,FALSE,TRUE,TRUE,1,8:00,9:00
G0052,44,FALSE,FALSE,FALSE,6,8:00,9:00
G0053,23,TRUE,FALSE,FALSE,3,8:00,9:00
G0054,33,TRUE,TRUE,FALSE,6,8:00,9:00
G0055,46,TRUE,TRUE,FALSE,5,8:00,9:00
G0056,29,FALSE,FALSE,FALSE,4,8:00,9:00
G0057,17,TRUE,FALSE,FALSE,8,8:00,9:00
G0058,28,TRUE,TRUE,FALSE,6,8:00,9:00
G0059,5,FALSE,TRUE,TRUE,1,8:00,9:00
G0060,16,FALSE,FALSE,FALSE,1,8:00,9:00
G0061,10,FALSE,FALSE,FALSE,4,8:00,9:00
G0062,11,TRUE,TRUE,TRUE,-1,8:00,9:00
G0063,18,TRUE,FALSE,FALSE,10,8:00,9:00
G0064,38,TRUE,FALSE,FALSE,7,8:00,9:00
G0065,35,TRUE,FALSE,TRUE,3,8:00,9:00
G0066,12,FALSE,FALSE,FALSE,6,8:00,9:00
G0067,42,TRUE,FALSE,TRUE,6,8:00,9:00
G0068,7,FALSE,TRUE,FALSE,7,8:00,9:00
G0069,41,FALSE,TRUE,TRUE,3,8:00,9:00
G0070,40,TRUE,TRUE,FALSE,4,8:00,9:00
G0071,17,FALSE,FALSE,TRUE,10,8:00,9:00
G0072,20,FALSE,TRUE,TRUE,2,8:00,9:00
G0073,10,FALSE,TRUE,TRUE,8,8:00,9:00
G0074,40,TRUE,FALSE,FALSE,6,8:00,9:00
G0075,39,FALSE,FALSE,TRUE,7,8:00,9:00
G0076,47,FALSE,FALSE,FALSE,4,8:00,9:00
G0077,16,TRUE,TRUE,TRUE,4,8:00,9:00
G0078,49,TRUE,FALSE,TRUE,10,8:00,9:00
G0079,48,FALSE,TRUE,FALSE,7,8:00,9:00
G0080,21,TRUE,FALSE,TRUE,1,8:00,9:00
G0081,24,TRUE,TRUE,TRUE,10,8:00,9:00
G0082,28,TRUE,FALSE,FALSE,-1,8:00,9:00
G0083,13,FALSE,TRUE,TRUE,-1,8:00,9:00
G0084,6,FALSE,TRUE,TRUE,1,8:00,9:00
G0085,16,FALSE,FALSE,TRUE,6,8:00,9:00
G0086,50,TRUE,TRUE,TRUE,6,9:10,10:10
G0087,38,FALSE,FALSE,TRUE,8,8:00,9:00
G0088,34,TRUE,FALSE,FALSE,9,8:00,9:00
G0089,32,TRUE,TRUE,FALSE,3,8:00,9:00
G0090,31,FALSE,FALSE,FALSE,2,8:00,9:00
G0091,33,TRUE,FALSE,TRUE,4,8:00,9:00
G0092,17,TRUE,FALSE,TRUE,8,8:00,9:00
G0093,33,FALSE,FALSE,FALSE,7,8:00,9:00
G0094,17,FALSE,FALSE,FALSE,5,8:00,9:00
G0095,35,TRUE,TRUE,FALSE,9,8:00,9:00
G0096,40,TRUE,FALSE,FALSE,7,8:00,9:00
G0097,30,TRUE,TRUE,TRUE,9,8:00,9:00
G0098,24,FALSE,FALSE,FALSE,4,8:00,9:00
G0099,30,FALSE,TRUE,TRUE,3,8:00,9:00
G0100,6,FALSE,TRUE,TRUE,8,8:00,9:00
G0101,7,TRUE,TRUE,TRUE,9,8:00,9:00
G0102,16,TRUE,TRUE,TRUE,5,8:00,9:00
G0103,5,FALSE,TRUE,TRUE,4,8:00,9:00
G0104,32,TRUE,TRUE,FALSE,2,8:00,9:00
G0105,22,TRUE,TRUE,TRUE,2,8:00,9:00
G0106,6,TRUE,FALSE,TRUE,9,8:00,9:00
G0107,30,FALSE,FALSE,FALSE,9,8:00,9:00
G0108,38,TRUE,TRUE,FALSE,3,8:00,9:00
G0109,43,FALSE,TRUE,TRUE,8,8:00,9:00
G0110,50,TRUE,TRUE,FALSE,7,8:00,9:00
G0111,50,FALSE,TRUE,TRUE,7,9:10,10:10
G0112,16,TRUE,FALSE,TRUE,-1,8:00,9:00
G0113,21,TRUE,TRUE,TRUE,2,8:00,9:00
G0114,10,FALSE,TRUE,TRUE,8,8:00,9:00
G0115,47,TRUE,FALSE,TRUE,9,8:00,9:00
G0116,21,FALSE,TRUE,FALSE,7,8:00,9:00
G0117,13,FALSE,FALSE,FALSE,2,8:00,9:00
