RoomID,Capacity,WheelchairAccess,Projector,Computer,FloorLevel
R001,55,True,True,False,1
R002,42,True,True,True,3
R003,48,True,True,True,1
R004,42,True,True,False,1
R005,49,True,True,True,3
R006,48,True,True,True,1
R007,59,True,True,True,2
R008,38,True,True,False,1
R009,58,False,True,False,1
R010,52,True,True,True,3
R011,37,True,True,False,1
R012,42,True,False,False,2
R013,55,True,True,False,2
R014,41,True,True,True,3
R015,58,True,True,False,2
R016,43,True,True,True,1
R017,36,True,False,False,1
R018,41,True,True,False,2
R019,55,False,True,False,1
R020,42,True,False,False,2
