RoomID,Capacity,WheelchairAccess,Projector,Computer,FloorLevel
R0001,49,FALSE,FALSE,TRUE,7
R0002,8,FALSE,FALSE,TRUE,9
R0003,44,FALSE,FALSE,TRUE,8
R0004,16,TRUE,TRUE,FALSE,1
R0005,21,TRUE,FALSE,FALSE,2
R0006,10,FALSE,FALSE,TRUE,9
R0007,18,FALSE,FALSE,TRUE,1
R0008,45,TRUE,FALSE,FALSE,8
R0009,7,FALSE,FALSE,FALSE,6
R0010,31,TRUE,FALSE,TRUE,1
R0011,40,TRUE,FALSE,TRUE,9
R0012,5,TRUE,TRUE,TRUE,1
R0013,32,TRUE,TRUE,FALSE,5
R0014,22,TRUE,FALSE,TRUE,7
R0015,28,FALSE,TRUE,TRUE,10
R0016,50,TRUE,FALSE,TRUE,7
R0017,31,TRUE,FALSE,TRUE,9
R0018,44,FALSE,TRUE,TRUE,8
R0019,38,FALSE,FALSE,FALSE,6
R0020,5,FALSE,FALSE,TRUE,6
R0021,11,FALSE,TRUE,FALSE,4
R0022,42,FALSE,FALSE,FALSE,9
R0023,48,TRUE,TRUE,FALSE,5
R0024,28,TRUE,TRUE,FALSE,10
R0025,18,TRUE,TRUE,FALSE,1
R0026,16,TRUE,TRUE,FALSE,8
R0027,39,TRUE,TRUE,TRUE,1
R0028,23,TRUE,FALSE,TRUE,8
R0029,19,TRUE,FALSE,FALSE,4
R0030,47,FALSE,FALSE,TRUE,9
R0031,42,TRUE,TRUE,TRUE,2
R0032,34,FALSE,TRUE,TRUE,10
R0033,9,TRUE,FALSE,FALSE,5
R0034,28,FALSE,FALSE,TRUE,8
R0035,33,TRUE,FALSE,TRUE,4
R0036,13,FALSE,TRUE,FALSE,4
R0037,8,FALSE,FALSE,TRUE,1
R0038,34,TRUE,TRUE,FALSE,9
R0039,14,TRUE,TRUE,FALSE,5
R0040,33,TRUE,FALSE,TRUE,8
R0041,17,TRUE,FALSE,TRUE,8
R0042,24,FALSE,FALSE,TRUE,10
R0043,45,FALSE,TRUE,FALSE,3
R0044,6,FALSE,FALSE,TRUE,2
R0045,39,FALSE,TRUE,FALSE,6
R0046,49,TRUE,FALSE,FALSE,3
